,axial,rad,tang
-0.2,0.06930000000000006,0.2755808219178083,0.0
0.0,0.0693,0.2838,0.0
0.073,0.0693,0.2868,0.0
0.156,0.0693,0.2903,0.0
0.247,0.0693,0.294,0.0
0.344,0.0693,0.298,0.0
0.445,0.0693,0.3022,0.0
0.55,0.0693,0.3065,0.0
0.658,0.0693,0.311,0.0
0.77,0.0693,0.3156,0.0
0.884,0.0693,0.3203,0.0
1.0,0.0693,0.3251,0.0
1.2,0.06930000000000003,0.33337586206896563,0.0
