,axial,rad,tang
-0.2,0.027699999999999995,0.24748333333333328,0.0
0.0,0.0277,0.2604,0.0
0.096,0.0277,0.2666,0.0
0.193,0.0277,0.2729,0.0
0.292,0.0277,0.2793,0.0
0.391,0.0277,0.2857,0.0
0.492,0.0277,0.2922,0.0
0.593,0.0277,0.2988,0.0
0.694,0.0277,0.3053,0.0
0.796,0.0277,0.3119,0.0
0.898,0.0277,0.3185,0.0
1.0,0.0277,0.3251,0.0
1.2,0.027699999999999995,0.3380411764705883,0.0
