,chordmer,kappa_le,kappa_te,stagger
-0.05,0.041546395757531,78.62910492139667,47.53741313127007,59.35225601151818
0.0,0.040542323564393794,76.98004761444079,47.57090238742327,59.33456047823027
0.05,0.039719156223746416,75.35289468604512,47.70647248807262,59.317969811221076
0.1,0.03903791053740388,73.20379360463728,49.47542216136555,59.91590559640511
0.2,0.037945279064192504,69.74338856717799,52.38607449203348,60.71758524810284
0.3,0.03705148372755094,67.45144541358741,53.86496919896161,60.92993683056702
0.4,0.036382819448498485,65.70556470293735,55.25288127409628,61.10638399424728
0.5,0.035831232600289545,64.49496848671228,56.40038742289871,61.25713606118685
0.6,0.03541539603388072,63.71418448246206,57.303100911735896,61.40619439700063
0.7,0.03514315624903812,63.33861269593227,57.97141925841699,61.62111079592738
0.8,0.034940496809573424,63.339581807342874,58.38768901547912,61.95305182562102
0.9,0.034835502270287484,63.67195399157119,58.138835643691635,62.3440055880801
0.95,0.03481204601568871,63.93065444706714,57.75252475049622,62.57146591382154
1.0,0.0348,64.08527584614563,57.678412978351034,62.803903272586716
1.05,0.03479340139488178,64.27043955592654,57.63953844051622,63.07687735515268
