,axial,rad
0,-0.0119,0.3251
1,-0.006,0.3251
2,0.0,0.3251
3,0.0226,0.3251
4,0.0277,0.3251
5,0.0625,0.3251
6,0.0693,0.3251
7,0.0993,0.3251
8,0.1033,0.3251
9,0.1073,0.3251
10,0.1112,0.3251
