
[Name]
IGV Blade

[Data]
X [ m ], Y [ m ], Z [ m ]
2.03646515e-02, 3.23505342e-01, 3.05004447e-04
1.99340880e-02, 3.23500574e-01, 3.38015554e-04
2.07647495e-02, 3.23913872e-01, 2.75207858e-04
2.03629360e-02, 3.23911071e-01, 3.05152527e-04
1.99332647e-02, 3.23907495e-01, 3.38093960e-04
2.07627509e-02, 3.24248582e-01, 2.75365368e-04
2.03615166e-02, 3.24246556e-01, 3.05266731e-04
1.99325830e-02, 3.24243993e-01, 3.38150508e-04
2.07610969e-02, 3.24525356e-01, 2.75490223e-04
2.03603413e-02, 3.24523956e-01, 3.05355730e-04
1.99320186e-02, 3.24522227e-01, 3.38191836e-04
2.07597297e-02, 3.24754179e-01, 2.75589846e-04
2.03593709e-02, 3.24753344e-01, 3.05425725e-04
1.99315529e-02, 3.24752301e-01, 3.38222366e-04
2.07585972e-02, 3.24943423e-01, 2.75669852e-04
2.03585662e-02, 3.24943036e-01, 3.05481197e-04
1.99311674e-02, 3.24942529e-01, 3.38245212e-04
2.07576640e-02, 3.25099915e-01, 2.75734288e-04
2.03579031e-02, 3.25099885e-01, 3.05525435e-04
1.99308470e-02, 3.25099856e-01, 3.38262587e-04
1.49773050e-03, 2.35434711e-01, 5.44424460e-04
2.00175308e-03, 2.35976562e-01, 6.19010418e-04
2.00051861e-03, 2.35685840e-01, 6.20511419e-04
1.49609393e-03, 2.35141560e-01, 5.45650779e-04
2.56447378e-03, 2.36581609e-01, 6.95203955e-04
2.56386702e-03, 2.36293703e-01, 6.97008916e-04
3.18992976e-03, 2.37225533e-01, 7.71169201e-04
3.19017470e-03, 2.36940682e-01, 7.73293257e-04
3.85914999e-03, 2.37905070e-01, 8.42135341e-04
3.86037468e-03, 2.37623468e-01, 8.44561495e-04
4.55948152e-03, 2.38616198e-01, 9.05116554e-04
4.56173578e-03, 2.38338009e-01, 9.07805515e-04
5.29270014e-03, 2.39345357e-01, 9.59293509e-04
5.29606547e-03, 2.39070684e-01, 9.62205464e-04
6.04780903e-03, 2.40094438e-01, 1.00310007e-03
6.05231011e-03, 2.39823416e-01, 1.00618612e-03
6.81937626e-03, 2.40859851e-01, 1.03619311e-03
6.82502659e-03, 2.40592569e-01, 1.03940617e-03
7.60484766e-03, 2.41639063e-01, 1.05875300e-03
7.61164911e-03, 2.41375625e-01, 1.06204732e-03
8.40102416e-03, 2.42428929e-01, 1.07125787e-03
8.40898417e-03, 2.42169395e-01, 1.07459351e-03
9.20508802e-03, 2.43226588e-01, 1.07432785e-03
9.21419729e-03, 2.42971048e-01, 1.07766781e-03
1.00149876e-02, 2.44030058e-01, 1.06871140e-03
1.00252489e-02, 2.43778542e-01, 1.07202434e-03
1.08297039e-02, 2.44838282e-01, 1.05515274e-03
1.08411172e-02, 2.44590864e-01, 1.05841015e-03
1.16472896e-02, 2.45649353e-01, 1.03434338e-03
1.16598597e-02, 2.45406076e-01, 1.03752071e-03
1.24663729e-02, 2.46461898e-01, 1.00695796e-03
1.24801099e-02, 2.46222809e-01, 1.01003272e-03
1.32856052e-02, 2.47274593e-01, 9.73595073e-04
1.33005148e-02, 2.47039735e-01, 9.76547424e-04
1.41027458e-02, 2.48085216e-01, 9.34842508e-04
1.41188437e-02, 2.47854590e-01, 9.37654171e-04
